customer_id,external_id,first_name,last_name,email,phone,city,state,country,postal_code,child_birthday,created_at,updated_at
23b8c1e9-3924-46de-beb1-3b9046685257,CUST-18196001,Jeffery,Wagner,hoffmanjennifer@example.net,+1-763-679-4026,East Susan,MA,US,13897,,2023-04-07 03:00:45.468837+00:00,2023-05-04 05:37:30.029157+00:00
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,CUST-07816184,Maria,Montgomery,barbara10@example.net,441.731.6475,Jasonview,UT,US,90094,2019-11-23,2018-10-06 19:05:09.449029+00:00,2019-06-27 13:29:08.358575+00:00
7656af72-29d4-4eef-beab-edcbbaa80dd4,CUST-64835030,Linda,Morales,clarksherri@example.net,837-767-2423x88496,East William,CO,US,99562,2009-01-28,2023-01-06 01:20:35.555926+00:00,2023-07-26 03:16:41.288261+00:00
98ae4334-6c12-4ce8-ae34-0454cac5b68c,CUST-16697848,Michelle,Smith,maldonadoamanda@example.com,001-551-446-2704x82814,Kathrynside,WI,US,70015,2024-10-05,2018-11-26 14:33:43.669758+00:00,2023-07-02 21:46:48.813097+00:00
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,CUST-43039117,Lisa,Spence,davidalvarez@example.net,(848)796-3834,Lammouth,DE,US,32994,,2022-12-06 10:27:02.742504+00:00,2024-07-17 11:42:18.488946+00:00
96a402f2-3ae8-4c93-8dcd-cd03969b6662,CUST-30103105,Chad,Young,ilewis@example.net,001-897-737-6311,Jenkinston,TX,US,86150,,2019-11-07 10:38:13.057613+00:00,2022-01-03 09:00:29.472248+00:00
ccf3a171-56dc-4907-ba6c-34ab6712303a,CUST-13338726,Isaiah,Ford,ramosmichelle@example.net,908-501-3267,Barreraburgh,MS,US,00783,,2026-02-06 09:55:53.694945+00:00,2026-02-11 02:21:46.828989+00:00
490617f2-747b-4dba-88fe-3ccdc8b8d9c6,CUST-68723430,Beth,Daniels,brian97@example.net,220.381.2191x36193,Sandovalshire,NC,US,41968,2025-01-19,2026-02-09 20:26:17.399961+00:00,2026-02-21 13:31:20.749903+00:00
21813d25-6552-48a6-83ff-50113d1a85dd,CUST-47510799,Wendy,Jones,williamanderson@example.com,235-642-7849,East Josephville,WA,US,73013,,2019-09-07 00:08:28.991715+00:00,2024-05-16 03:24:33.563658+00:00
341ef40b-57c7-40aa-b7b5-6ea735ebd32d,CUST-48740164,Bradley,Cook,danagreen@example.net,486.880.1128x059,North Kyle,MH,US,05730,2024-05-29,2019-04-13 06:41:02.418784+00:00,2021-03-28 13:59:29.221568+00:00
8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3,CUST-69232260,Harry,Middleton,vpham@example.org,521-260-7337x543,South Mark,VI,US,09600,2025-08-19,2019-09-24 11:49:45.683771+00:00,2021-05-09 00:09:10.220037+00:00
d7fa2d8d-fb2c-4025-adf4-e62d6651529e,CUST-85014294,Benjamin,Carlson,jessica56@example.net,316.793.4060x88356,Elizabethville,VA,US,39864,,2020-04-19 01:16:59.736478+00:00,2024-02-08 02:50:54.973123+00:00
4bb00f20-b27c-4026-a703-b6365380b904,CUST-82366299,Kevin,Kelley,torresjason@example.net,+1-757-377-3872x148,Lake Lance,AS,US,26601,2010-11-18,2022-03-05 10:00:32.599893+00:00,2024-11-17 11:35:43.304500+00:00
12a4def0-c4bb-47a9-9988-68dd9c7c7377,CUST-76936763,Dylan,Watts,osbornejeffery@example.net,870.983.1727x88957,Lake Michelle,NV,US,34473,2021-10-05,2018-05-19 22:03:26.436588+00:00,2026-02-07 22:57:18.526523+00:00
a07295e9-7c0e-4cd8-8573-e793c715b2b9,CUST-34714345,Luis,Fernandez,edwardreyes@example.org,001-831-266-5876x036,Woodsstad,ME,US,99260,,2024-11-29 15:20:18.010907+00:00,2025-04-12 03:06:42.387109+00:00
bf5d2fdf-89c8-42ab-ab44-fa8dd5f25073,CUST-89373467,Anthony,Rogers,dramsey@example.org,+1-280-669-9016x272,Murphymouth,MD,US,44737,,2021-03-18 07:19:19.861011+00:00,2025-09-08 07:34:27.542130+00:00
